,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
11828,IDN,1997,Cumulative AIDS cases & deaths,1,1,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),4.074104057971013e-07,🇮🇩
11829,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11830,IDN,1997,Cumulative AIDS cases & deaths,2,2,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
11832,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11833,IDN,1997,Cumulative AIDS cases & deaths,70,37,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),2.8518728405797095e-05,🇮🇩
11845,IDN,1997,Cumulative AIDS cases & deaths,152,82,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),6.19263816811594e-05,🇮🇩
11851,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11852,IDN,1997,Cumulative AIDS cases & deaths,2,1,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
11853,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11854,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11855,IDN,1997,Cumulative AIDS cases & deaths,0,0,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),0.0,🇮🇩
11856,IDN,1997,Cumulative AIDS cases & deaths,2,2,-1.0,Indonesia,245452739,3200.0,ASIA (EX. NEAR EAST),8.148208115942026e-07,🇮🇩
12184,JAM,1987,Cumulative AIDS cases & deaths,47,29,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.0017040568154296182,🇯🇲
12186,JAM,1990,Cumulative AIDS cases & deaths,218,127,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.007903923101354399,🇯🇲
12187,JAM,2001,Cumulative AIDS cases & deaths,6038,"3,720",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.21891691599072416,🇯🇲
12188,JAM,1991,Cumulative AIDS cases & deaths,361,232,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.013088606603618982,🇯🇲
12190,JAM,1992,Cumulative AIDS cases & deaths,496,340,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.01798323788198065,🇯🇲
12192,JAM,2004,Cumulative AIDS cases & deaths,9209,"5,727",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.33388636624024154,🇯🇲
12195,JAM,2005,Cumulative AIDS cases & deaths,10553,"6,241",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.38261513985593104,🇯🇲
12197,JAM,2007,Cumulative AIDS cases & deaths,12520,"6,993",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.45393173040805995,🇯🇲
12200,JAM,2009,Cumulative AIDS cases & deaths,14354,"7,772",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.5204262027378029,🇯🇲
12201,JAM,2002,Cumulative AIDS cases & deaths,7027,"4,412",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.2547746221707219,🇯🇲
12203,JAM,1995,Cumulative AIDS cases & deaths,1533,907,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.05558125740539584,🇯🇲
12205,JAM,1988,Cumulative AIDS cases & deaths,79,50,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.0028642657110412727,🇯🇲
12207,JAM,1996,Cumulative AIDS cases & deaths,2052,"1,198",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.07439839543109737,🇯🇲
12209,JAM,1987,Cumulative AIDS cases & deaths,30,20,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.0010876958396359266,🇯🇲
12212,JAM,1987,Cumulative AIDS cases & deaths,21,17,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.0007613870877451485,🇯🇲
12220,JAM,1999,Cumulative AIDS cases & deaths,3976,"1,642",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.14415595527974812,🇯🇲
12226,JAM,1998,Cumulative AIDS cases & deaths,3304,"1,966",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.11979156847190335,🇯🇲
12233,JAM,2000,Cumulative AIDS cases & deaths,5099,"3,132",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.18487203621011963,🇯🇲
12241,JAM,1986,Cumulative AIDS cases & deaths,13,11,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.00047133486384223484,🇯🇲
12242,JAM,1994,Cumulative AIDS cases & deaths,1050,686,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.03806935438725742,🇯🇲
12244,JAM,1985,Cumulative AIDS cases & deaths,5,2,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.00018128263993932107,🇯🇲
12247,JAM,2003,Cumulative AIDS cases & deaths,8097,"5,062",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.29356910711773654,🇯🇲
12248,JAM,2006,Cumulative AIDS cases & deaths,11739,"6,673",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.425615382049538,🇯🇲
12264,JAM,1999,Cumulative AIDS cases & deaths,4196,"2,515",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.15213239143707824,🇯🇲
12266,JAM,1995,Cumulative AIDS cases & deaths,1561,955,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.05659644018905604,🇯🇲
12269,JAM,1993,Cumulative AIDS cases & deaths,715,486,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.025923417511322915,🇯🇲
12271,JAM,1997,Cumulative AIDS cases & deaths,2661,"1,591",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.09647862097570668,🇯🇲
12273,JAM,1982,Cumulative AIDS cases & deaths,1,0,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,3.625652798786421e-05,🇯🇲
12274,JAM,2008,Cumulative AIDS cases & deaths,13445,"7,394",-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.4874690187968344,🇯🇲
12275,JAM,1983,Cumulative AIDS cases & deaths,2,1,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,7.251305597572842e-05,🇯🇲
12276,JAM,1984,Cumulative AIDS cases & deaths,2,2,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,7.251305597572842e-05,🇯🇲
12427,JAM,2005,Cumulative AIDS cases & deaths,10553,0,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.38261513985593104,🇯🇲
12592,JAM,1989,Cumulative AIDS cases & deaths,137,88,-1.0,Jamaica,2758124,3900.0,LATIN AMER. & CARIB,0.004967144334337398,🇯🇲
12834,JPN,1995,Cumulative AIDS cases & deaths,1026,626,-1.0,Japan,127463611,28200.0,ASIA (EX. NEAR EAST),0.0008049356141338253,🇯🇵
12970,KAZ,2007,Cumulative AIDS cases & deaths,433,400,-1.0,Kazakhstan,15233244,6300.0,C.W. OF IND. STATES,0.0028424674350387875,🇰🇿
13105,KHM,1995,Cumulative AIDS cases & deaths,86,12,-1.0,Cambodia,13881427,1900.0,ASIA (EX. NEAR EAST),0.0006195328477396452,🇰🇭
13110,KIR,2004,Cumulative AIDS cases & deaths,28,23,-1.0,Kiribati,105432,800.0,OCEANIA,0.0265574019273086,🇰🇮
13141,LAO,1995,Cumulative AIDS cases & deaths,13,13,-1.0,Laos,6368481,1700.0,ASIA (EX. NEAR EAST),0.00020413030988080202,🇱🇦
13199,LCA,1999,Cumulative AIDS cases & deaths,111,104,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.06589179498747462,🇱🇨
13203,LCA,1995,Cumulative AIDS cases & deaths,76,66,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.04511510287430695,🇱🇨
13205,LCA,1988,Cumulative AIDS cases & deaths,11,8,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.006529817521281269,🇱🇨
13209,LCA,1987,Cumulative AIDS cases & deaths,6,2,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.0035617186479716015,🇱🇨
13212,LCA,1986,Cumulative AIDS cases & deaths,3,2,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.0017808593239858007,🇱🇨
13229,LCA,1989,Cumulative AIDS cases & deaths,17,8,-1.0,Saint Lucia,168458,5400.0,LATIN AMER. & CARIB,0.01009153616925287,🇱🇨
13515,LKA,2005,Cumulative AIDS cases & deaths,190,135,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.0009395596135739661,🇱🇰
13558,LKA,2003,Cumulative AIDS cases & deaths,614,11,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.003036261067023238,🇱🇰
13559,LKA,2002,Cumulative AIDS cases & deaths,539,9,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.002665382272191409,🇱🇰
13581,LKA,2012,Cumulative AIDS cases & deaths,414,275,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.0020472509474716944,🇱🇰
13585,LKA,2011,Cumulative AIDS cases & deaths,374,253,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.001849448923561386,🇱🇰
13589,LKA,2010,Cumulative AIDS cases & deaths,340,221,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.0016813172032376237,🇱🇰
13596,LKA,2009,Cumulative AIDS cases & deaths,309,202,-1.0,Sri Lanka,20222240,3700.0,ASIA (EX. NEAR EAST),0.0015280206347071342,🇱🇰
13730,LTU,2001,Cumulative AIDS cases & deaths,46,20,-1.0,Lithuania,3585906,11400.0,BALTICS,0.001282799939541081,🇱🇹
13731,LTU,2001,Cumulative AIDS cases & deaths,43,20,-1.0,Lithuania,3585906,11400.0,BALTICS,0.0011991390739188367,🇱🇹
13732,LTU,2001,Cumulative AIDS cases & deaths,3,0,-1.0,Lithuania,3585906,11400.0,BALTICS,8.366086562224442e-05,🇱🇹
13741,LVA,2000,Cumulative AIDS cases & deaths,72,22,-1.0,Latvia,2274735,10200.0,BALTICS,0.0031652038589110383,🇱🇻
13743,LVA,2001,Cumulative AIDS cases & deaths,114,36,-1.0,Latvia,2274735,10200.0,BALTICS,0.005011572776609143,🇱🇻
13744,LVA,1997,Cumulative AIDS cases & deaths,20,4,-1.0,Latvia,2274735,10200.0,BALTICS,0.0008792232941419549,🇱🇻
13745,LVA,1993,Cumulative AIDS cases & deaths,7,1,-1.0,Latvia,2274735,10200.0,BALTICS,0.00030772815294968423,🇱🇻
13746,LVA,1991,Cumulative AIDS cases & deaths,3,1,-1.0,Latvia,2274735,10200.0,BALTICS,0.00013188349412129324,🇱🇻
13747,LVA,1990,Cumulative AIDS cases & deaths,2,0,-1.0,Latvia,2274735,10200.0,BALTICS,8.79223294141955e-05,🇱🇻
13748,LVA,1994,Cumulative AIDS cases & deaths,9,3,-1.0,Latvia,2274735,10200.0,BALTICS,0.0003956504823638798,🇱🇻
13749,LVA,1995,Cumulative AIDS cases & deaths,12,4,-1.0,Latvia,2274735,10200.0,BALTICS,0.000527533976485173,🇱🇻
13750,LVA,1998,Cumulative AIDS cases & deaths,31,8,-1.0,Latvia,2274735,10200.0,BALTICS,0.0013627961059200302,🇱🇻
13752,LVA,2002,Cumulative AIDS cases & deaths,169,55,-1.0,Latvia,2274735,10200.0,BALTICS,0.00742943683549952,🇱🇻
13753,LVA,2003,Cumulative AIDS cases & deaths,171,57,-1.0,Latvia,2274735,10200.0,BALTICS,0.007517359164913715,🇱🇻
13759,LVA,1996,Cumulative AIDS cases & deaths,17,4,-1.0,Latvia,2274735,10200.0,BALTICS,0.0007473398000206618,🇱🇻
13760,LVA,1992,Cumulative AIDS cases & deaths,4,1,-1.0,Latvia,2274735,10200.0,BALTICS,0.000175844658828391,🇱🇻
13761,LVA,1999,Cumulative AIDS cases & deaths,48,13,-1.0,Latvia,2274735,10200.0,BALTICS,0.002110135905940692,🇱🇻
13851,MDA,2004,Cumulative AIDS cases & deaths,103,70,-1.0,Moldova,4466706,1800.0,C.W. OF IND. STATES,0.002305949843128247,🇲🇩
13881,MDA,2006,Cumulative AIDS cases & deaths,318,123,-1.0,Moldova,4466706,1800.0,C.W. OF IND. STATES,0.007119340292376529,🇲🇩
13935,MEX,1999,Cumulative AIDS cases & deaths,42283,"16,636",-1.0,Mexico,107449525,9000.0,LATIN AMER. & CARIB,0.03935150015786482,🇲🇽
14068,MEX,1988,Cumulative AIDS cases & deaths,2158,602,-1.0,Mexico,107449525,9000.0,LATIN AMER. & CARIB,0.0020083848672202134,🇲🇽
14072,MEX,1987,Cumulative AIDS cases & deaths,534,177,-1.0,Mexico,107449525,9000.0,LATIN AMER. & CARIB,0.0004969775343353077,🇲🇽
14076,MEX,1987,Cumulative AIDS cases & deaths,487,166,-1.0,Mexico,107449525,9000.0,LATIN AMER. & CARIB,0.000453236065957481,🇲🇽
14218,MHL,2004,Cumulative AIDS cases & deaths,2,2,-1.0,Marshall Islands,60422,1600.0,OCEANIA,0.0033100526298368146,🇲🇭
14219,MHL,1995,Cumulative AIDS cases & deaths,2,2,-1.0,Marshall Islands,60422,1600.0,OCEANIA,0.0033100526298368146,🇲🇭
14512,MSR,1999,Cumulative AIDS cases & deaths,7,0,-1.0,Montserrat,9439,3400.0,LATIN AMER. & CARIB,0.07416039834728255,🇲🇸
14515,MSR,1995,Cumulative AIDS cases & deaths,7,0,-1.0,Montserrat,9439,3400.0,LATIN AMER. & CARIB,0.07416039834728255,🇲🇸
14516,MSR,1988,Cumulative AIDS cases & deaths,0,0,-1.0,Montserrat,9439,3400.0,LATIN AMER. & CARIB,0.0,🇲🇸
14517,MSR,1987,Cumulative AIDS cases & deaths,0,0,-1.0,Montserrat,9439,3400.0,LATIN AMER. & CARIB,0.0,🇲🇸
14521,MSR,1989,Cumulative AIDS cases & deaths,1,0,-1.0,Montserrat,9439,3400.0,LATIN AMER. & CARIB,0.010594342621040365,🇲🇸
14713,MYS,1997,Cumulative AIDS cases & deaths,667,603,-1.0,Malaysia,24385858,9000.0,ASIA (EX. NEAR EAST),0.0027351918476684316,🇲🇾
14750,MYS,1995,Cumulative AIDS cases & deaths,259,201,-1.0,Malaysia,24385858,9000.0,ASIA (EX. NEAR EAST),0.001062090987325523,🇲🇾
14784,NCL,2004,Cumulative AIDS cases & deaths,101,50,-1.0,New Caledonia,219246,15000.0,OCEANIA,0.046066974996123077,🇳🇨
14787,NCL,1995,Cumulative AIDS cases & deaths,43,25,-1.0,New Caledonia,219246,15000.0,OCEANIA,0.019612672523101903,🇳🇨
14885,NIC,1999,Cumulative AIDS cases & deaths,214,117,-1.0,Nicaragua,5570129,2300.0,LATIN AMER. & CARIB,0.0038419217939117747,🇳🇮
14890,NIC,1995,Cumulative AIDS cases & deaths,126,72,-1.0,Nicaragua,5570129,2300.0,LATIN AMER. & CARIB,0.0022620661029574,🇳🇮
14892,NIC,1988,Cumulative AIDS cases & deaths,2,2,-1.0,Nicaragua,5570129,2300.0,LATIN AMER. & CARIB,3.590581115805397e-05,🇳🇮
14896,NIC,1987,Cumulative AIDS cases & deaths,19,0,-1.0,Nicaragua,5570129,2300.0,LATIN AMER. & CARIB,0.0003411052060015127,🇳🇮
14945,NRU,2004,Cumulative AIDS cases & deaths,1,1,-1.0,Nauru,13287,5000.0,OCEANIA,0.007526153383005946,🇳🇷
14949,NZL,2004,Cumulative AIDS cases & deaths,845,607,-1.0,New Zealand,4076140,21600.0,OCEANIA,0.02073039689510174,🇳🇿
14954,NZL,1995,Cumulative AIDS cases & deaths,511,417,-1.0,New Zealand,4076140,21600.0,OCEANIA,0.012536370193369216,🇳🇿
14974,NZL,1987,Cumulative AIDS cases & deaths,45,21,-1.0,New Zealand,4076140,21600.0,OCEANIA,0.0011039856334669564,🇳🇿
15023,PAK,1989,Cumulative AIDS cases & deaths,12,6,-1.0,Pakistan,165803560,2100.0,ASIA (EX. NEAR EAST),7.23748030500672e-06,🇵🇰
15062,PAN,1999,Cumulative AIDS cases & deaths,3087,"1,830",-1.0,Panama,3191319,6300.0,LATIN AMER. & CARIB,0.09673116350950814,🇵🇦
15068,PAN,1995,Cumulative AIDS cases & deaths,1006,604,-1.0,Panama,3191319,6300.0,LATIN AMER. & CARIB,0.03152301603192911,🇵🇦
15072,PAN,1988,Cumulative AIDS cases & deaths,84,43,-1.0,Panama,3191319,6300.0,LATIN AMER. & CARIB,0.0026321405036600857,🇵🇦
15078,PAN,1987,Cumulative AIDS cases & deaths,22,18,-1.0,Panama,3191319,6300.0,LATIN AMER. & CARIB,0.0006893701319109748,🇵🇦
15081,PAN,1987,Cumulative AIDS cases & deaths,14,11,-1.0,Panama,3191319,6300.0,LATIN AMER. & CARIB,0.00043869008394334754,🇵🇦
15304,PER,1999,Cumulative AIDS cases & deaths,8119,"2,220",-1.0,Peru,28302603,5100.0,LATIN AMER. & CARIB,0.02868640739510779,🇵🇪
15380,PER,1995,Cumulative AIDS cases & deaths,2709,711,-1.0,Peru,28302603,5100.0,LATIN AMER. & CARIB,0.009571557782158764,🇵🇪
15382,PER,1988,Cumulative AIDS cases & deaths,137,75,-1.0,Peru,28302603,5100.0,LATIN AMER. & CARIB,0.0004840544171855854,🇵🇪
15385,PER,1987,Cumulative AIDS cases & deaths,44,6,-1.0,Peru,28302603,5100.0,LATIN AMER. & CARIB,0.00015546273252675736,🇵🇪
15387,PER,1986,Cumulative AIDS cases & deaths,9,6,-1.0,Peru,28302603,5100.0,LATIN AMER. & CARIB,3.1799195289564005e-05,🇵🇪
16347,PHL,1995,Cumulative AIDS cases & deaths,220,105,-1.0,Philippines,89468677,4600.0,ASIA (EX. NEAR EAST),0.0002458961140109404,🇵🇭
16380,PLW,2004,Cumulative AIDS cases & deaths,4,3,-1.0,Palau,20579,9000.0,OCEANIA,0.019437290441712426,🇵🇼
16382,PLW,1995,Cumulative AIDS cases & deaths,1,1,-1.0,Palau,20579,9000.0,OCEANIA,0.004859322610428107,🇵🇼
16389,PNG,2004,Cumulative AIDS cases & deaths,1926,353,-1.0,Papua New Guinea,5670544,2200.0,OCEANIA,0.03396499524560607,🇵🇬
16394,PNG,1995,Cumulative AIDS cases & deaths,141,65,-1.0,Papua New Guinea,5670544,2200.0,OCEANIA,0.002486533919849665,🇵🇬
16416,PNG,1992,Cumulative AIDS cases & deaths,47,28,-1.0,Papua New Guinea,5670544,2200.0,OCEANIA,0.0008288446399498885,🇵🇬
16421,PNG,1995,Cumulative AIDS cases & deaths,141,65,-1.0,Papua New Guinea,5670544,2200.0,OCEANIA,0.002486533919849665,🇵🇬
16460,PRY,2000,Cumulative AIDS cases & deaths,469,242,-1.0,Paraguay,6506464,4700.0,LATIN AMER. & CARIB,0.007208216321491981,🇵🇾
16466,PRY,1995,Cumulative AIDS cases & deaths,190,131,-1.0,Paraguay,6506464,4700.0,LATIN AMER. & CARIB,0.0029201729234189264,🇵🇾
16470,PRY,1988,Cumulative AIDS cases & deaths,9,8,-1.0,Paraguay,6506464,4700.0,LATIN AMER. & CARIB,0.00013832398058300174,🇵🇾
16472,PRY,1987,Cumulative AIDS cases & deaths,14,9,-1.0,Paraguay,6506464,4700.0,LATIN AMER. & CARIB,0.0002151706364624472,🇵🇾
16474,PRY,1987,Cumulative AIDS cases & deaths,10,6,-1.0,Paraguay,6506464,4700.0,LATIN AMER. & CARIB,0.00015369331175889086,🇵🇾
16490,PYF,2004,Cumulative AIDS cases & deaths,94,61,-1.0,French Polynesia,274578,17500.0,OCEANIA,0.03423435235160865,🇵🇫
16493,PYF,1995,Cumulative AIDS cases & deaths,45,33,-1.0,French Polynesia,274578,17500.0,OCEANIA,0.016388785700238183,🇵🇫
16656,SGP,1995,Cumulative AIDS cases & deaths,145,98,-1.0,Singapore,4492150,23700.0,ASIA (EX. NEAR EAST),0.0032278530325122717,🇸🇬
16676,SLB,2004,Cumulative AIDS cases & deaths,2,2,-1.0,Solomon Islands,552438,1700.0,OCEANIA,0.00036203157639409306,🇸🇧
16680,SLE,2002,Cumulative AIDS cases & deaths,1028,510,-1.0,Sierra Leone,6005250,500.0,SUB-SAHARAN AFRICA,0.01711835477290704,🇸🇱
16707,SLV,1999,Cumulative AIDS cases & deaths,2285,305,-1.0,El Salvador,6822378,4800.0,LATIN AMER. & CARIB,0.03349272057338365,🇸🇻
16712,SLV,1995,Cumulative AIDS cases & deaths,1372,236,-1.0,El Salvador,6822378,4800.0,LATIN AMER. & CARIB,0.020110289989795346,🇸🇻
16715,SLV,1988,Cumulative AIDS cases & deaths,71,27,-1.0,El Salvador,6822378,4800.0,LATIN AMER. & CARIB,0.001040692849326144,🇸🇻
16718,SLV,1987,Cumulative AIDS cases & deaths,12,6,-1.0,El Salvador,6822378,4800.0,LATIN AMER. & CARIB,0.0001758917491818835,🇸🇻
16721,SLV,1987,Cumulative AIDS cases & deaths,9,6,-1.0,El Salvador,6822378,4800.0,LATIN AMER. & CARIB,0.0001319188118864126,🇸🇻
16758,SUR,1995,Cumulative AIDS cases & deaths,211,191,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.048050975024879476,🇸🇷
16764,SUR,1995,Cumulative AIDS cases & deaths,209,189,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.04759551554597066,🇸🇷
16767,SUR,1988,Cumulative AIDS cases & deaths,11,11,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.002505027133998456,🇸🇷
16769,SUR,1987,Cumulative AIDS cases & deaths,6,5,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.0013663784367264305,🇸🇷
16771,SUR,1987,Cumulative AIDS cases & deaths,3,3,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.0006831892183632153,🇸🇷
16976,SUR,1989,Cumulative AIDS cases & deaths,46,37,-1.0,Suriname,439117,4000.0,LATIN AMER. & CARIB,0.010475568014902634,🇸🇷
17281,THA,2004,Cumulative AIDS cases & deaths,238375,"65,565",-1.0,Thailand,64631595,7400.0,ASIA (EX. NEAR EAST),0.36882116246705654,🇹🇭
17395,TON,2004,Cumulative AIDS cases & deaths,9,8,-1.0,Tonga,114689,2200.0,OCEANIA,0.0078473088090401,🇹🇴
17396,TON,1995,Cumulative AIDS cases & deaths,5,5,-1.0,Tonga,114689,2200.0,OCEANIA,0.004359616005022278,🇹🇴
17428,TUV,2004,Cumulative AIDS cases & deaths,2,2,-1.0,Tuvalu,11810,1100.0,OCEANIA,0.01693480101608806,🇹🇻
18510,URY,2000,Cumulative AIDS cases & deaths,1387,612,-1.0,Uruguay,3431932,12800.0,LATIN AMER. & CARIB,0.04041455366831277,🇺🇾
18516,URY,1995,Cumulative AIDS cases & deaths,684,385,-1.0,Uruguay,3431932,12800.0,LATIN AMER. & CARIB,0.019930464822729588,🇺🇾
18519,URY,1988,Cumulative AIDS cases & deaths,45,28,-1.0,Uruguay,3431932,12800.0,LATIN AMER. & CARIB,0.0013112147909690518,🇺🇾
18523,URY,1987,Cumulative AIDS cases & deaths,13,8,-1.0,Uruguay,3431932,12800.0,LATIN AMER. & CARIB,0.00037879538405772607,🇺🇾
18525,URY,1986,Cumulative AIDS cases & deaths,8,5,-1.0,Uruguay,3431932,12800.0,LATIN AMER. & CARIB,0.00023310485172783142,🇺🇾
18568,VCT,2000,Cumulative AIDS cases & deaths,180,123,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.15273912158034078,🇻🇨
18574,VCT,1995,Cumulative AIDS cases & deaths,68,69,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.05770144593035097,🇻🇨
18576,VCT,1988,Cumulative AIDS cases & deaths,14,9,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.011879709456248727,🇻🇨
18579,VCT,1987,Cumulative AIDS cases & deaths,3,2,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.0025456520263390132,🇻🇨
18582,VCT,1986,Cumulative AIDS cases & deaths,3,2,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.0025456520263390132,🇻🇨
18595,VCT,1989,Cumulative AIDS cases & deaths,22,15,-1.0,Saint Vincent and the Grenadines,117848,2900.0,LATIN AMER. & CARIB,0.018668114859819427,🇻🇨
18656,VEN,1998,Cumulative AIDS cases & deaths,7548,"4,284",-1.0,Venezuela,25730435,4800.0,LATIN AMER. & CARIB,0.02933491019487234,🇻🇪
18661,VEN,1995,Cumulative AIDS cases & deaths,4960,"2,976",-1.0,Venezuela,25730435,4800.0,LATIN AMER. & CARIB,0.01927678253399136,🇻🇪
18665,VEN,1988,Cumulative AIDS cases & deaths,266,166,-1.0,Venezuela,25730435,4800.0,LATIN AMER. & CARIB,0.0010337951923471173,🇻🇪
18667,VEN,1987,Cumulative AIDS cases & deaths,101,74,-1.0,Venezuela,25730435,4800.0,LATIN AMER. & CARIB,0.00039253125724458214,🇻🇪
18669,VEN,1987,Cumulative AIDS cases & deaths,69,54,-1.0,Venezuela,25730435,4800.0,LATIN AMER. & CARIB,0.0002681649183156056,🇻🇪
18688,VGB,1998,Cumulative AIDS cases & deaths,20,7,-1.0,Virgin Islands,108605,17200.0,LATIN AMER. & CARIB,0.01841535840891303,🇻🇬
18716,VGB,1989,Cumulative AIDS cases & deaths,1,1,-1.0,Virgin Islands,108605,17200.0,LATIN AMER. & CARIB,0.0009207679204456517,🇻🇬
18726,VNM,1994,Cumulative AIDS cases & deaths,75,18,-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),8.885943652738459e-05,🇻🇳
18727,VNM,1995,Cumulative AIDS cases & deaths,131,55,-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.00015520781580116507,🇻🇳
18737,VNM,1995,Cumulative AIDS cases & deaths,292,133,-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.00034595940621328405,🇻🇳
18742,VNM,2012,Cumulative AIDS cases & deaths,59839,"62,184",-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.07089679763149556,🇻🇳
18743,VNM,2010,Cumulative AIDS cases & deaths,37184,"45,227",-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.04405532383779025,🇻🇳
18755,VNM,1996,Cumulative AIDS cases & deaths,701,411,-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.0008305395334092881,🇻🇳
18774,VNM,2005,Cumulative AIDS cases & deaths,16917,"9,862",-1.0,Vietnam,84402966,2500.0,ASIA (EX. NEAR EAST),0.020043134503116868,🇻🇳
18778,VUT,2004,Cumulative AIDS cases & deaths,2,0,-1.0,Vanuatu,208869,2900.0,OCEANIA,0.0009575379783500663,🇻🇺
