,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country_x,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag,Country,Alpha-3 code,Latitude (average),Longitude (average)
31,BOL,1986,Cumulative AIDS cases & deaths,1,1,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,1.1124651047508268e-05,🇧🇴,Bolivia,BOL,-17.0,-65.0
32,BOL,1987,Cumulative AIDS cases & deaths,2,1,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,2.2249302095016533e-05,🇧🇴,"Bolivia, Plurinational State of",BOL,-17.0,-65.0
33,BOL,1987,Cumulative AIDS cases & deaths,2,1,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,2.2249302095016533e-05,🇧🇴,Bolivia,BOL,-17.0,-65.0
34,BRA,1988,Cumulative AIDS cases & deaths,4946,"2,564",-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0026297568192196,🇧🇷,Brazil,BRA,-10.0,-55.0
35,BRA,1987,Cumulative AIDS cases & deaths,1542,702,-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0008198716165056,🇧🇷,Brazil,BRA,-10.0,-55.0
36,BRA,1987,Cumulative AIDS cases & deaths,2013,734,-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0010702993281619,🇧🇷,Brazil,BRA,-10.0,-55.0
37,BRA,1999,Cumulative AIDS cases & deaths,170078,"66,636",-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0904293935097548,🇧🇷,Brazil,BRA,-10.0,-55.0
38,BRB,1999,Cumulative AIDS cases & deaths,1043,856,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.3726171082340164,🇧🇧,Barbados,BRB,13.1667,-59.5333
39,BRB,1995,Cumulative AIDS cases & deaths,632,530,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.2257852467918488,🇧🇧,Barbados,BRB,13.1667,-59.5333
40,BRB,1988,Cumulative AIDS cases & deaths,70,50,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.0250078596130212,🇧🇧,Barbados,BRB,13.1667,-59.5333
41,BRB,1987,Cumulative AIDS cases & deaths,44,27,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.0157192260424704,🇧🇧,Barbados,BRB,13.1667,-59.5333
42,BRB,1987,Cumulative AIDS cases & deaths,39,25,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.0139329503558261,🇧🇧,Barbados,BRB,13.1667,-59.5333
