,name,value,ranking,region,country_code,Country,Alpha-3 code,Latitude,Longitude
74,Malaysia,0.4,76,East Asia/Southeast Asia,MYS,Malaysia,MYS,2.5,112.5
75,Mexico,0.4,77,North America,MEX,Mexico,MEX,23.0,-102.0
76,Spain,0.4,78,Europe,ESP,Spain,ESP,40.0,-4.0
77,Uruguay,0.4,79,South America,URY,Uruguay,URY,-33.0,-56.0
78,Ecuador,0.3,80,South America,ECU,Ecuador,ECU,-2.0,-77.5
79,France,0.3,81,Europe,FRA,France,FRA,46.0,2.0
80,Georgia,0.3,82,Middle East,GEO,Georgia,GEO,42.0,43.5
81,Kazakhstan,0.3,83,Central Asia,KAZ,Kazakhstan,KAZ,48.0,68.0
82,Laos,0.3,84,East Asia/Southeast Asia,LAO,Lao People's Democratic Republic,LAO,18.0,105.0
83,Latvia,0.3,85,Europe,LVA,Latvia,LVA,57.0,25.0
84,Luxembourg,0.3,86,Europe,LUX,Luxembourg,LUX,49.75,6.1667
85,Madagascar,0.3,87,Africa,MDG,Madagascar,MDG,-20.0,47.0
86,Mauritania,0.3,88,Africa,MRT,Mauritania,MRT,20.0,-12.0
87,Paraguay,0.3,89,South America,PRY,Paraguay,PRY,-23.0,-58.0
88,Peru,0.3,90,South America,PER,Peru,PER,-10.0,-76.0
89,Sao Tome and Principe,0.3,91,Africa,STP,Sao Tome and Principe,STP,1.0,7.0
90,Senegal,0.3,92,Africa,SEN,Senegal,SEN,14.0,-14.0
91,Vietnam,0.3,93,East Asia/Southeast Asia,VNM,Viet Nam,VNM,16.0,106.0
92,Armenia,0.2,94,Middle East,ARM,Armenia,ARM,40.0,45.0
93,Bhutan,0.2,95,South Asia,BTN,Bhutan,BTN,27.5,90.5
94,Bolivia,0.2,96,South America,BOL,"Bolivia, Plurinational State of",BOL,-17.0,-65.0
95,Fiji,0.2,97,Australia - Oceania,FJI,Fiji,FJI,-18.0,175.0
96,Greece,0.2,98,Europe,GRC,Greece,GRC,39.0,22.0
97,Guatemala,0.2,99,Central America,GTM,Guatemala,GTM,15.5,-90.25
